Clientnumber,Customer,Subscription type,Bookingsdata,Revenuetype,Description,Revenue,Percentage of total monthly revenue,Company revenue total (month),Year,Month,Lag_1,Lag_6,MA_6
1.0,14,0,2020-07-31,1,376,21229.226678000003,0.1034,205311.67,2020,7,20592.364364,18155.906736,20283.05084666667
1.0,14,0,2020-08-31,1,47,22217.387390000004,0.1034,214868.35,2020,8,21229.226678000003,19429.783362000002,20747.651518000002
1.0,14,0,2020-09-30,1,200,23202.620848000002,0.1034,224396.72,2020,9,22217.387390000004,19949.252554000002,21289.879567000004
1.0,14,0,2020-10-31,1,199,23762.602160000002,0.1034,229812.4,2020,10,23202.620848000002,19951.08687,21925.132115333337
1.0,14,0,2020-11-30,1,215,23976.738390000002,0.1034,231883.35,2020,11,23762.602160000002,20546.591252000002,22496.823305
1.0,14,0,2020-12-31,1,67,25569.643308000002,0.1034,247288.62,2020,12,23976.738390000002,20592.364364,23326.36979566667
1.0,14,0,2021-01-31,1,406,25992.250482000003,0.1034,251375.73,2021,1,25569.643308000002,21229.226678000003,24120.207096333335
1.0,14,0,2021-02-28,1,156,26491.926846000002,0.1034,256208.19,2021,2,25992.250482000003,22217.387390000004,24832.630339
1.0,14,0,2021-03-31,1,209,26994.435336000002,0.1034,261068.04,2021,3,26491.926846000002,23202.620848000002,25464.599420333336
1.0,14,0,2021-04-30,1,220,27821.040785999998,0.1034,269062.29,2021,4,26994.435336000002,23762.602160000002,26141.005858000004
1.0,14,0,2021-05-31,1,211,28710.750222000002,0.1034,277666.83,2021,5,27821.040785999998,23976.738390000002,26930.007830000002
1.0,14,0,2021-06-30,1,212,29453.914974,0.1034,284854.11,2021,6,28710.750222000002,25569.643308000002,27577.386441
1.0,14,0,2021-07-31,1,66,30674.31312,0.1034,296656.8,2021,7,29453.914974,25992.250482000003,28357.730214
1.0,14,0,2021-08-31,1,409,31038.589252000005,0.1034,300179.78,2021,8,30674.31312,26491.926846000002,29115.50728166667
1.0,14,0,2021-09-30,1,158,31761.543439999998,0.1034,307171.6,2021,9,31038.589252000005,26994.435336000002,29910.025299
1.0,14,0,2021-10-31,1,206,33282.295838,0.1034,321879.06999999995,2021,10,31761.543439999998,27821.040785999998,30820.234474333334
1.0,14,0,2021-11-30,1,198,34650.112398,0.1034,335107.47,2021,11,33282.295838,28710.750222000002,31810.128170333333
1.0,14,0,2021-12-31,1,375,35935.56155200001,0.1034,347539.28,2021,12,34650.112398,29453.914974,32890.4026
1.0,14,0,2022-01-31,1,47,36188.71163600001,0.1034,349987.54000000004,2022,1,35935.56155200001,30674.31312,33809.46901933334
1.0,14,0,2022-02-28,1,207,36203.539196000005,0.1034,350130.94,2022,2,36188.71163600001,31038.589252000005,34670.294010000005
1.0,14,0,2022-03-31,1,61,37275.174728,0.1034,360494.92,2022,3,36203.539196000005,31761.543439999998,35589.232558
1.0,14,0,2022-04-30,1,375,36227.971582,0.1034,350367.23,2022,4,37275.174728,33282.295838,36080.17851533333
1.0,14,0,2022-05-31,1,207,36703.215560000004,0.1034,354963.4,2022,5,36227.971582,34650.112398,36422.36237566667
1.0,14,0,2022-06-30,1,207,53352.155186,0.1034,515978.29,2022,6,36703.215560000004,35935.56155200001,39325.12798133333
